id,styleId,styleName,category,visual,density,pageType,pageName,filename,status
minimal-line-art-closing,minimal-line-art,极简线描,手绘与插画,极简线描,中,closing,结尾页,minimal-line-art-closing.png,generated
paper-cut-cover,paper-cut,剪纸拼层,手绘与插画,剪纸拼层,中,cover,封面页,paper-cut-cover.png,generated
paper-cut-agenda,paper-cut,剪纸拼层,手绘与插画,剪纸拼层,中,agenda,目录页,paper-cut-agenda.png,generated
paper-cut-section,paper-cut,剪纸拼层,手绘与插画,剪纸拼层,中,section,过渡页,paper-cut-section.png,generated
paper-cut-text,paper-cut,剪纸拼层,手绘与插画,剪纸拼层,中,text,纯文字页,paper-cut-text.png,generated
paper-cut-image-text,paper-cut,剪纸拼层,手绘与插画,剪纸拼层,中,image-text,文字图片页,paper-cut-image-text.png,generated
paper-cut-data,paper-cut,剪纸拼层,手绘与插画,剪纸拼层,中,data,数据/要点页,paper-cut-data.png,generated
paper-cut-closing,paper-cut,剪纸拼层,手绘与插画,剪纸拼层,中,closing,结尾页,paper-cut-closing.png,generated
risograph-print-cover,risograph-print,Riso孔版印刷,手绘与插画,Riso孔版印刷,中,cover,封面页,risograph-print-cover.png,generated
risograph-print-agenda,risograph-print,Riso孔版印刷,手绘与插画,Riso孔版印刷,中,agenda,目录页,risograph-print-agenda.png,generated
risograph-print-section,risograph-print,Riso孔版印刷,手绘与插画,Riso孔版印刷,中,section,过渡页,risograph-print-section.png,generated
risograph-print-text,risograph-print,Riso孔版印刷,手绘与插画,Riso孔版印刷,中,text,纯文字页,risograph-print-text.png,generated
risograph-print-image-text,risograph-print,Riso孔版印刷,手绘与插画,Riso孔版印刷,中,image-text,文字图片页,risograph-print-image-text.png,generated
risograph-print-data,risograph-print,Riso孔版印刷,手绘与插画,Riso孔版印刷,中,data,数据/要点页,risograph-print-data.png,generated
risograph-print-closing,risograph-print,Riso孔版印刷,手绘与插画,Riso孔版印刷,中,closing,结尾页,risograph-print-closing.png,generated
photoreal-stage-cover,photoreal-stage,真实舞台摄影,真实与摄影,真实舞台摄影,中,cover,封面页,photoreal-stage-cover.png,generated
photoreal-stage-agenda,photoreal-stage,真实舞台摄影,真实与摄影,真实舞台摄影,中,agenda,目录页,photoreal-stage-agenda.png,generated
photoreal-stage-section,photoreal-stage,真实舞台摄影,真实与摄影,真实舞台摄影,中,section,过渡页,photoreal-stage-section.png,generated
photoreal-stage-text,photoreal-stage,真实舞台摄影,真实与摄影,真实舞台摄影,中,text,纯文字页,photoreal-stage-text.png,generated
photoreal-stage-image-text,photoreal-stage,真实舞台摄影,真实与摄影,真实舞台摄影,中,image-text,文字图片页,photoreal-stage-image-text.png,generated
photoreal-stage-data,photoreal-stage,真实舞台摄影,真实与摄影,真实舞台摄影,中,data,数据/要点页,photoreal-stage-data.png,generated
photoreal-stage-closing,photoreal-stage,真实舞台摄影,真实与摄影,真实舞台摄影,中,closing,结尾页,photoreal-stage-closing.png,generated
cinematic-portrait-cover,cinematic-portrait,电影感人像,真实与摄影,电影感人像,中,cover,封面页,cinematic-portrait-cover.png,generated
cinematic-portrait-agenda,cinematic-portrait,电影感人像,真实与摄影,电影感人像,中,agenda,目录页,cinematic-portrait-agenda.png,generated
cinematic-portrait-section,cinematic-portrait,电影感人像,真实与摄影,电影感人像,中,section,过渡页,cinematic-portrait-section.png,generated
cinematic-portrait-text,cinematic-portrait,电影感人像,真实与摄影,电影感人像,中,text,纯文字页,cinematic-portrait-text.png,generated
cinematic-portrait-image-text,cinematic-portrait,电影感人像,真实与摄影,电影感人像,中,image-text,文字图片页,cinematic-portrait-image-text.png,generated
cinematic-portrait-data,cinematic-portrait,电影感人像,真实与摄影,电影感人像,中,data,数据/要点页,cinematic-portrait-data.png,generated
cinematic-portrait-closing,cinematic-portrait,电影感人像,真实与摄影,电影感人像,中,closing,结尾页,cinematic-portrait-closing.png,generated
